path_similarity:
('punishment', u'n', Synset('punishment.n.01'), 1.0)
('imprisonment', u'n', Synset('imprisonment.n.01'), 0.5)
('imposition', u'n', Synset('imposition.n.01'), 0.25)
('practice', u'n', Synset('practice.n.01'), 0.16666666666666666)
('process', u'n', Synset('procedure.n.01'), 0.16666666666666666)
('behavior', u'n', Synset('behavior.n.01'), 0.16666666666666666)
('order', u'n', Synset('order.n.01'), 0.14285714285714285)
('group', u'n', Synset('group.n.01'), 0.14285714285714285)
('contact', u'n', Synset('contact.n.01'), 0.14285714285714285)
('crime', u'n', Synset('crime.n.01'), 0.125)
('deterrence', u'n', Synset('disincentive.n.01'), 0.125)
('breach', u'n', Synset('breach.n.01'), 0.1111111111111111)
('study', u'n', Synset('survey.n.01'), 0.1111111111111111)
('correction', u'n', Synset('correction.n.01'), 0.1111111111111111)
('law', u'n', Synset('law.n.01'), 0.1111111111111111)
('justification', u'n', Synset('justification.n.01'), 0.1111111111111111)
('rule', u'n', Synset('rule.n.01'), 0.1)
('person', u'n', Synset('person.n.01'), 0.1)
('isolation', u'n', Synset('isolation.n.01'), 0.1)
('text', u'n', Synset('text.n.01'), 0.09090909090909091)
('rehabilitation', u'n', Synset('rehabilitation.n.01'), 0.09090909090909091)
('context', u'n', Synset('context.n.01'), 0.09090909090909091)
('kind', u'n', Synset('kind.n.01'), 0.09090909090909091)
('consequence', u'n', Synset('consequence.n.01'), 0.09090909090909091)
('family', u'n', Synset('family.n.01'), 0.09090909090909091)
('authority', u'n', Synset('authority.n.01'), 0.09090909090909091)
('response', u'n', Synset('response.n.01'), 0.08333333333333333)
('wrongdoer', u'n', Synset('wrongdoer.n.01'), 0.08333333333333333)
('victim', u'n', Synset('victim.n.01'), 0.08333333333333333)
('system', u'n', Synset('system.n.01'), 0.07692307692307693)
('animal', u'n', Synset('animal.n.01'), 0.07692307692307693)
('setting', u'n', Synset('setting.n.01'), 0.07142857142857142)
('retribution', u'n', Synset('retribution.n.01'), 0.07142857142857142)
('penology', u'n', Synset('penology.n.01'), 0.07142857142857142)
('correctional', u'a', Synset('correctional.s.01'), 0.0)
('informally', u'r', Synset('informally.r.01'), 0.0)
('define', u'v', Synset('specify.v.03'), 0.0)
('particularly', u'r', Synset('particularly.r.01'), 0.0)
('include', u'v', Synset('include.v.01'), 0.0)
('fundamental', u'a', Synset('cardinal.s.01'), 0.0)
('single', u'a', Synset('individual.a.01'), 0.0)
('negative', u'a', Synset('negative.a.01'), 0.0)
('consider', u'v', Synset('see.v.05'), 0.0)
('either', u'r', Synset('either.r.01'), 0.0)
('formally', u'r', Synset('formally.r.01'), 0.0)
('unpleasant', u'a', Synset('unpleasant.a.01'), 0.0)
('apply', u'v', Synset('use.v.01'), 0.0)
('wrong', u'a', Synset('incorrect.a.01'), 0.0)
('modern', u'a', Synset('modern.a.01'), 0.0)
('administer', u'v', Synset('administer.v.01'), 0.0)
